"","block_id","conc1","conc2","ZIP_synergy","Bliss_synergy","Loewe_synergy","HSA_synergy","idSample","drug1","drug2"
"143",1,0.39,1.56,3.66398582583897,-3.1358347964471,3.6571830308451,-4.10606669345121,"AU565 R3","TBF","FLUVA"
"144",1,0.39,3.125,4.26744959711187,9.59924237153719,11.2023819058953,8.57372438730411,"AU565 R3","TBF","FLUVA"
"145",1,0.39,6.25,4.33174414259852,16.3278877038882,4.06698616463379,7.27199678585777,"AU565 R3","TBF","FLUVA"
"146",1,0.39,12.5,9.85222021405517,11.2910588832728,4.78692910550968,10.2129369224588,"AU565 R3","TBF","FLUVA"
"147",1,0.39,25,9.88681037324272,10.9766488822413,-3.43504604968494,10.0843712334271,"AU565 R3","TBF","FLUVA"
"148",1,0.39,50,4.53660481570466,6.15245319663651,6.1932616423362,5.67296102852551,"AU565 R3","TBF","FLUVA"
"149",1,1.56,0.78,2.45326718906541,0.324783971128248,5.33061330253665,5.76134993973484,"AU565 R3","TBF","FLUVA"
"150",1,1.56,1.56,5.81912038771665,1.51008382241445,9.96701346324377,10.397750100442,"AU565 R3","TBF","FLUVA"
"151",1,1.56,3.125,9.70054245798714,6.59767000515403,9.38470972410354,10.8718360787465,"AU565 R3","TBF","FLUVA"
"152",1,1.56,6.25,14.3571603476596,25.1976095382156,12.4911532676311,17.1474487746083,"AU565 R3","TBF","FLUVA"
"153",1,1.56,12.5,21.5938093862113,21.8511548039175,7.57183383794859,21.7356368019285,"AU565 R3","TBF","FLUVA"
"154",1,1.56,25,21.7991900183904,17.4959365603997,-5.57205613977717,25.9059863398955,"AU565 R3","TBF","FLUVA"
"155",1,1.56,50,13.6944568231448,14.9261678666163,19.9658610798613,19.4455604660506,"AU565 R3","TBF","FLUVA"
"156",1,6.25,0.78,3.2285415505884,3.34338005666072,5.22849989602842,6.25954198473283,"AU565 R3","TBF","FLUVA"
"157",1,6.25,1.56,3.20377191879121,0.0217474364100525,2.70164011028315,4.78907191643231,"AU565 R3","TBF","FLUVA"
"158",1,6.25,3.125,3.21378719743236,1.28308002378001,0.431911702601369,3.57573322619527,"AU565 R3","TBF","FLUVA"
"159",1,6.25,6.25,7.68849827605607,11.8873933212927,4.42548341814977,7.56930494174367,"AU565 R3","TBF","FLUVA"
"160",1,6.25,12.5,15.1937746653728,16.6630081962887,12.4008333551847,16.6010445962234,"AU565 R3","TBF","FLUVA"
"161",1,6.25,25,16.9927206930144,17.826114453616,21.8825529212755,26.0827641623142,"AU565 R3","TBF","FLUVA"
"162",1,6.25,50,13.3529251914408,13.7165592084481,36.2497686705725,36.7858577742065,"AU565 R3","TBF","FLUVA"
"163",1,25,0.78,0.532736653511677,0.215927985910199,0.859093606209598,0.626757734029724,"AU565 R3","TBF","FLUVA"
"164",1,25,1.56,0.814781743215903,0.252443818288612,1.1564017620955,0.924065889915624,"AU565 R3","TBF","FLUVA"
"165",1,25,3.125,1.45866452542205,1.34032894595602,1.89565447402801,1.66331860184813,"AU565 R3","TBF","FLUVA"
"166",1,25,6.25,1.47164006482164,2.18326324861128,1.80726556281869,1.57492969063881,"AU565 R3","TBF","FLUVA"
"167",1,25,12.5,1.86675960059235,1.95328549676431,2.17689191878493,1.94455604660506,"AU565 R3","TBF","FLUVA"
"168",1,25,25,1.28417185826366,0.869745724094813,2.26528082999425,2.03294495781438,"AU565 R3","TBF","FLUVA"
"169",1,0.39,0.78,20.6180065994333,-10.1546109868257,-32.5463773122074,-27.158836689038,"BT20 R1","TBF","FLUVA"
"170",1,0.39,1.56,17.5806152791581,-7.85384041759881,-37.3785920773081,-31.9910514541387,"BT20 R1","TBF","FLUVA"
"171",1,0.39,3.125,12.9819141120605,14.2828734775043,-25.4173691093738,-20.0298284862044,"BT20 R1","TBF","FLUVA"
"172",1,0.39,6.25,5.71622023537691,9.03007705692266,-49.7872423383074,-44.399701715138,"BT20 R1","TBF","FLUVA"
"173",1,0.39,12.5,11.1392161254152,4.70693512304251,-39.1683012495676,-33.7807606263982,"BT20 R1","TBF","FLUVA"
"174",1,1.56,0.78,21.7071465179269,2.34493496845043,-17.5426487514319,-14.3325876211782,"BT20 R1","TBF","FLUVA"
"175",1,1.56,1.56,20.0985825789778,20.2730140617623,-6.61050855754677,-3.40044742729307,"BT20 R1","TBF","FLUVA"
"176",1,1.56,3.125,14.0705843880392,-2.03633358746494,-38.8998448737287,-35.689783743475,"BT20 R1","TBF","FLUVA"
"177",1,1.56,6.25,12.4957379507114,35.3413354197703,-20.2719552391277,-17.061894108874,"BT20 R1","TBF","FLUVA"
"178",1,1.56,12.5,12.2280185463106,-6.02507394561808,-46.9833646351008,-43.7733035048471,"BT20 R1","TBF","FLUVA"
"179",1,6.25,0.78,7.91766508973801,-9.72503184986107,-26.225000610202,-20.9246830723341,"BT20 R1","TBF","FLUVA"
"180",1,6.25,1.56,11.2458248266157,1.37124287027442,-25.0904707996071,-14.5264727815063,"BT20 R1","TBF","FLUVA"
"181",1,6.25,3.125,12.2438050775622,10.3252717456282,-31.6112208915688,-12.2744220730798,"BT20 R1","TBF","FLUVA"
"182",1,6.25,6.25,10.2582858712656,17.6368876721714,-46.5409438301614,-17.5540641312453,"BT20 R1","TBF","FLUVA"
"183",1,6.25,12.5,21.2678235563472,29.3316116891632,-26.7593369507163,3.98210290827741,"BT20 R1","TBF","FLUVA"
"184",1,25,0.78,4.7466626576452,-3.43185075080036,-9.09716551993657,-9.09768829231918,"BT20 R1","TBF","FLUVA"
"185",1,25,1.56,14.882532426288,19.2431572151404,11.2011775916804,11.2005965697241,"BT20 R1","TBF","FLUVA"
"186",1,25,3.125,7.94664181671968,8.73357389640439,-2.69895522910883,-2.69947800149143,"BT20 R1","TBF","FLUVA"
"187",1,25,6.25,8.46815191597541,16.4009562465488,-1.40141607922068,-1.40193885160328,"BT20 R1","TBF","FLUVA"
"188",1,25,12.5,9.78769948914065,13.8085071243037,0.984864836910475,0.984340044742716,"BT20 R1","TBF","FLUVA"
"189",1,0.39,0.78,17.8340794786516,9.1621723048303,16.4464132564515,8.78806150135665,"BT20 R1","TBF","FLUVA"
"190",1,0.39,1.56,13.3496055562987,-18.5296208885099,-19.4896735689932,-27.148025324088,"BT20 R1","TBF","FLUVA"
"191",1,0.39,3.125,12.2123044746317,-6.82024767304925,-9.87254966184817,-17.530901416943,"BT20 R1","TBF","FLUVA"
"192",1,0.39,12.5,4.92567556150952,-4.38113594114931,-21.8713437528943,-29.5296955079891,"BT20 R1","TBF","FLUVA"
"193",1,1.56,0.78,10.2365865577167,-0.513701945078068,-8.4857543648931,-7.6575218570998,"BT20 R1","TBF","FLUVA"
"194",1,1.56,1.56,5.75214211524045,-7.18639664170535,-24.7655252421919,-17.2294241784745,"BT20 R1","TBF","FLUVA"
"195",1,1.56,3.125,4.89130547564373,8.48655245190429,-11.5306744734249,-3.99457340970758,"BT20 R1","TBF","FLUVA"
"196",1,1.56,12.5,6.77685278222875,28.4313349461199,-9.39614411194625,-0.874283991558642,"BT20 R1","TBF","FLUVA"
"197",1,1.56,25,24.5741799772589,30.5624163768762,-29.6893146070243,24.8567983117275,"BT20 R1","TBF","FLUVA"
"198",1,1.56,50,0.293667142928015,2.21196767385999,0.968477877810628,0.949653301175772,"BT20 R1","TBF","FLUVA"
"199",1,6.25,0.78,5.09038371673313,-2.69561051140338,-7.53181027641535,-2.87910762737414,"BT20 R1","TBF","FLUVA"
"200",1,6.25,1.56,6.17052472022646,3.33787200332578,-9.48509672920441,-0.889357853482068,"BT20 R1","TBF","FLUVA"
"201",1,6.25,3.125,5.97783099535168,3.53503420907759,-16.2287134750145,-1.71842025927043,"BT20 R1","TBF","FLUVA"
"202",1,6.25,6.25,6.93520568036954,15.9501181959827,-23.3007973845118,-0.904431715405487,"BT20 R1","TBF","FLUVA"
"203",1,6.25,12.5,13.7422920646088,22.6154577386989,-16.0590280640117,10.2803738317757,"BT20 R1","TBF","FLUVA"
"204",1,6.25,25,5.89179725564788,-0.0366144424229802,-18.4315824176371,8.89357853482062,"BT20 R1","TBF","FLUVA"
"205",1,25,0.78,2.48336494073422,0.249168619936825,0.17877131894393,0.180886343081099,"BT20 R1","TBF","FLUVA"
"206",1,25,1.56,1.77376946630989,0.336964663177582,-1.23826399465706,-1.23605667772084,"BT20 R1","TBF","FLUVA"
"207",1,25,3.125,2.60692105593543,2.39203829242636,0.434976071190036,0.437141995779314,"BT20 R1","TBF","FLUVA"
