date,conc1,conc2,response,repeats,drug1,drug2,conc_unit1,conc_unit2,block_id
44844,0.9,1.6,58.48561713,1,FLV,TBF,uM,uM,95
44844,0.9,3.15,54.43538397,1,FLV,TBF,uM,uM,95
44844,0.9,6.3,44.04825825,1,FLV,TBF,uM,uM,95
44844,0.9,12.5,19.02469603,1,FLV,TBF,uM,uM,95
44844,0.9,25,7.204088056,1,FLV,TBF,uM,uM,95
44844,0.5,0,82.3807496,1,FLV,TBF,uM,uM,95
44844,0.5,0.1,72.40465126,1,FLV,TBF,uM,uM,95
44844,0.5,0.2,75.64199885,1,FLV,TBF,uM,uM,95
44844,0.5,0.4,77.54866513,1,FLV,TBF,uM,uM,95
44844,0.5,0.83,69.88532318,1,FLV,TBF,uM,uM,95
44844,0.5,1.6,64.68726388,1,FLV,TBF,uM,uM,95
44844,0.5,3.15,68.54159338,1,FLV,TBF,uM,uM,95
44844,0.5,6.3,57.88397602,1,FLV,TBF,uM,uM,95
44844,0.5,12.5,35.08280059,1,FLV,TBF,uM,uM,95
44844,0.5,25,10.21194095,1,FLV,TBF,uM,uM,95
44844,0.3,0,79.04262888,1,FLV,TBF,uM,uM,95
44844,0.3,0.1,76.3801201,1,FLV,TBF,uM,uM,95
44844,0.3,0.2,76.03865527,1,FLV,TBF,uM,uM,95
44844,0.3,0.4,86.76636417,1,FLV,TBF,uM,uM,95
44844,0.3,0.83,76.06713271,1,FLV,TBF,uM,uM,95
44844,0.3,1.6,73.46254863,1,FLV,TBF,uM,uM,95
44844,0.3,3.15,73.62036481,1,FLV,TBF,uM,uM,95
44844,0.3,6.3,58.60129021,1,FLV,TBF,uM,uM,95
44844,0.3,12.5,33.10569011,1,FLV,TBF,uM,uM,95
44844,0.3,25,14.40747079,1,FLV,TBF,uM,uM,95
44844,0.17,0,91.93462355,1,FLV,TBF,uM,uM,95
44844,0.17,0.1,94.36322936,1,FLV,TBF,uM,uM,95
44844,0.17,0.2,90.51119216,1,FLV,TBF,uM,uM,95
44844,0.17,0.4,98.54059711,1,FLV,TBF,uM,uM,95
44844,0.17,0.83,94.27153728,1,FLV,TBF,uM,uM,95
44844,0.17,1.6,91.26271456,1,FLV,TBF,uM,uM,95
44844,0.17,3.15,88.3793513,1,FLV,TBF,uM,uM,95
44844,0.17,6.3,72.87369151,1,FLV,TBF,uM,uM,95
44844,0.17,12.5,56.70758426,1,FLV,TBF,uM,uM,95
44844,0.17,25,26.28027271,1,FLV,TBF,uM,uM,95
44844,0.1,0,114.3529845,1,FLV,TBF,uM,uM,95
44844,0.1,0.1,80.40698941,1,FLV,TBF,uM,uM,95
44844,0.1,0.2,99.68154635,1,FLV,TBF,uM,uM,95
44844,0.1,0.4,91.78051032,1,FLV,TBF,uM,uM,95
44844,0.1,0.83,93.69872627,1,FLV,TBF,uM,uM,95
44844,0.1,1.6,93.88881101,1,FLV,TBF,uM,uM,95
44844,0.1,3.15,87.68028735,1,FLV,TBF,uM,uM,95
44844,0.1,6.3,82.06379476,1,FLV,TBF,uM,uM,95
44844,0.1,12.5,49.30062747,1,FLV,TBF,uM,uM,95
44844,0.1,25,33.71879273,1,FLV,TBF,uM,uM,95
44844,0,0,100,1,FLV,TBF,uM,uM,95
44844,0,0.1,109.611975,1,FLV,TBF,uM,uM,95
44844,0,0.2,99.54832834,1,FLV,TBF,uM,uM,95
44844,0,0.4,110.1586008,1,FLV,TBF,uM,uM,95
44844,0,0.83,117.5766665,1,FLV,TBF,uM,uM,95
44844,0,1.6,123.8131386,1,FLV,TBF,uM,uM,95
44844,0,3.15,123.8576622,1,FLV,TBF,uM,uM,95
44844,0,6.3,118.8308202,1,FLV,TBF,uM,uM,95
44844,0,12.5,68.56892467,1,FLV,TBF,uM,uM,95
44844,0,25,48.84534103,1,FLV,TBF,uM,uM,95
44859,25,0,21.49818587,2,FLV,TBF,uM,uM,95
44859,25,0.1,29.64789749,2,FLV,TBF,uM,uM,95
44859,25,0.2,25.75495776,2,FLV,TBF,uM,uM,95
44859,25,0.4,25.27338681,2,FLV,TBF,uM,uM,95
44859,25,0.83,29.23926991,2,FLV,TBF,uM,uM,95
44859,25,1.6,27.18913522,2,FLV,TBF,uM,uM,95
44859,25,3.15,23.01857643,2,FLV,TBF,uM,uM,95
44859,25,6.3,19.10657652,2,FLV,TBF,uM,uM,95
44859,25,12.5,8.874721989,2,FLV,TBF,uM,uM,95
44859,25,25,2.588725305,2,FLV,TBF,uM,uM,95
44859,14.4,0,35.68257333,2,FLV,TBF,uM,uM,95
44859,14.4,0.1,36.69396882,2,FLV,TBF,uM,uM,95
44859,14.4,0.2,35.76918855,2,FLV,TBF,uM,uM,95
44859,14.4,0.4,38.4641522,2,FLV,TBF,uM,uM,95
44859,14.4,0.83,39.22961517,2,FLV,TBF,uM,uM,95
44859,14.4,1.6,39.94248171,2,FLV,TBF,uM,uM,95
44859,14.4,3.15,33.62640694,2,FLV,TBF,uM,uM,95
44859,14.4,6.3,26.53658568,2,FLV,TBF,uM,uM,95
44859,14.4,12.5,16.24529879,2,FLV,TBF,uM,uM,95
44859,14.4,25,3.379601835,2,FLV,TBF,uM,uM,95
44859,8.3,0,39.70652159,2,FLV,TBF,uM,uM,95
44859,8.3,0.1,39.53699061,2,FLV,TBF,uM,uM,95
44859,8.3,0.2,39.42608775,2,FLV,TBF,uM,uM,95
44859,8.3,0.4,39.75236252,2,FLV,TBF,uM,uM,95
44859,8.3,0.83,42.98052847,2,FLV,TBF,uM,uM,95
44859,8.3,1.6,41.31151681,2,FLV,TBF,uM,uM,95
44859,8.3,3.15,36.66179975,2,FLV,TBF,uM,uM,95
44859,8.3,6.3,33.53488595,2,FLV,TBF,uM,uM,95
44859,8.3,12.5,17.18664614,2,FLV,TBF,uM,uM,95
44859,8.3,25,4.078474832,2,FLV,TBF,uM,uM,95
44859,4.8,0,38.80522474,2,FLV,TBF,uM,uM,95
44859,4.8,0.1,48.83634429,2,FLV,TBF,uM,uM,95
44859,4.8,0.2,44.35374555,2,FLV,TBF,uM,uM,95
44859,4.8,0.4,49.20894252,2,FLV,TBF,uM,uM,95
44859,4.8,0.83,41.16844488,2,FLV,TBF,uM,uM,95
44859,4.8,1.6,45.86392243,2,FLV,TBF,uM,uM,95
44859,4.8,3.15,37.60025188,2,FLV,TBF,uM,uM,95
44859,4.8,6.3,43.93964922,2,FLV,TBF,uM,uM,95
44859,4.8,12.5,16.31373848,2,FLV,TBF,uM,uM,95
44859,4.8,25,6.159009289,2,FLV,TBF,uM,uM,95
44859,2.7,0,48.63440297,2,FLV,TBF,uM,uM,95
44859,2.7,0.1,55.17525909,2,FLV,TBF,uM,uM,95
44859,2.7,0.2,57.83982297,2,FLV,TBF,uM,uM,95
44859,2.7,0.4,52.54945894,2,FLV,TBF,uM,uM,95
44859,2.7,0.83,52.56650854,2,FLV,TBF,uM,uM,95
44859,2.7,1.6,49.50127892,2,FLV,TBF,uM,uM,95
44859,2.7,3.15,47.59598546,2,FLV,TBF,uM,uM,95
44859,2.7,6.3,42.18337897,2,FLV,TBF,uM,uM,95
44859,2.7,12.5,29.47506917,2,FLV,TBF,uM,uM,95
44859,2.7,25,7.255009428,2,FLV,TBF,uM,uM,95
44859,1.6,0,53.99803206,2,FLV,TBF,uM,uM,95
44859,1.6,0.1,62.78734517,2,FLV,TBF,uM,uM,95
44859,1.6,0.2,53.80791287,2,FLV,TBF,uM,uM,95
44859,1.6,0.4,65.31631643,2,FLV,TBF,uM,uM,95
44859,1.6,0.83,55.14333129,2,FLV,TBF,uM,uM,95
44859,1.6,1.6,66.50616983,2,FLV,TBF,uM,uM,95
44859,1.6,3.15,44.97396517,2,FLV,TBF,uM,uM,95
44859,1.6,6.3,52.55790332,2,FLV,TBF,uM,uM,95
44859,1.6,12.5,30.18463839,2,FLV,TBF,uM,uM,95
44859,1.6,25,12.15476056,2,FLV,TBF,uM,uM,95
44859,0.9,0,43.8558488,2,FLV,TBF,uM,uM,95
44859,0.9,0.1,53.51951717,2,FLV,TBF,uM,uM,95
44859,0.9,0.2,47.93657547,2,FLV,TBF,uM,uM,95
44859,0.9,0.4,60.5606023,2,FLV,TBF,uM,uM,95
44859,0.9,0.83,48.67123655,2,FLV,TBF,uM,uM,95
44859,0.9,1.6,63.63419588,2,FLV,TBF,uM,uM,95
44859,0.9,3.15,46.19735482,2,FLV,TBF,uM,uM,95
44859,0.9,6.3,58.91105293,2,FLV,TBF,uM,uM,95
44859,0.9,12.5,28.94612928,2,FLV,TBF,uM,uM,95
44859,0.9,25,21.48893726,2,FLV,TBF,uM,uM,95
44859,0.5,0,53.35022746,2,FLV,TBF,uM,uM,95
44859,0.5,0.1,54.7772473,2,FLV,TBF,uM,uM,95
44859,0.5,0.2,57.81609829,2,FLV,TBF,uM,uM,95
44859,0.5,0.4,61.34649263,2,FLV,TBF,uM,uM,95
44859,0.5,0.83,61.83747302,2,FLV,TBF,uM,uM,95
44859,0.5,1.6,65.31575347,2,FLV,TBF,uM,uM,95
44859,0.5,3.15,53.4195518,2,FLV,TBF,uM,uM,95
44859,0.5,6.3,57.69747485,2,FLV,TBF,uM,uM,95
44859,0.5,12.5,44.92997397,2,FLV,TBF,uM,uM,95
44859,0.5,25,26.87420005,2,FLV,TBF,uM,uM,95
44859,0.3,0,57.20955051,2,FLV,TBF,uM,uM,95
44859,0.3,0.1,60.38914117,2,FLV,TBF,uM,uM,95
